State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,
IN,18,10710,Southern Hancock County Community School Corporation,"19,397","3,538",127,
IN,18,10770,Southern Wells Community Schools,"4,033",790,48,
IN,18,00030,Southwest Allen County Metropolitan School District,"41,735","8,606",287,
IN,18,10870,Southwest Dubois County School Corporation,"9,838","1,745",132,
IN,18,10900,Southwest Parke Community School Corporation,"5,152",893,140,
IN,18,10860,Southwest School Corporation,"12,315","1,586",241,
IN,18,10800,Southwestern Jefferson County Consolidated Schools,"9,390","1,322",191,
IN,18,10830,Southwestern Shelby County Consolidated Schools,"4,405",782,64,
IN,18,10920,Speedway School Town,"12,624","1,842",264,
IN,18,10950,Spencer-Owen Community Schools,"17,327","2,721",428,
IN,18,10980,Springs Valley Community School Corporation,"5,700",900,158,
IN,18,11100,Steuben County Metropolitan School District,"18,293","2,720",307,
IN,18,11190,Sunman-Dearborn Community School Corporation,"24,296","4,315",292,
IN,18,11220,Switzerland County School Corporation,"10,751","2,007",422,
IN,18,11250,Taylor Community School Corporation,"9,264","1,464",217,
IN,18,11260,Tell City-Troy Township School Corporation,"10,328","1,583",216,
IN,18,11340,Tippecanoe School Corporation,"101,325","15,979","1,460",
IN,18,11370,Tippecanoe Valley School Corporation,"11,734","2,085",203,
IN,18,11400,Tipton Community School Corporation,"10,357","1,537",136,
IN,18,08040,Tipton County Northern Community School Corporation,"4,791",736,48,
IN,18,11430,Tri-County School Corporation,"4,258",775,96,
IN,18,11460,Tri-Creek School Corporation,"20,130","3,568",248,
IN,18,00107,Tri-Township Consolidated School Corporation,"2,936",449,66,
IN,18,11490,Triton School Corporation,"5,929","1,177",106,
IN,18,11580,Twin Lakes School Corporation,"14,435","2,350",271,
IN,18,11610,Union County-College Corner Joint School District,"7,419","1,142",139,
IN,18,11730,Union School Corporation,"2,817",463,78,
IN,18,11700,Union Township School Corporation,"9,141","1,627",58,
IN,18,11910,Union-North United School Corporation,"8,006","1,434",187,
IN,18,11970,Valparaiso Community Schools,"44,884","6,687",408,
IN,18,12090,Vigo County School Corporation,"107,038","15,760","3,465",
IN,18,12120,Vincennes Community School Corporation,"22,288","3,253",592,
IN,18,12240,Wa-Nee Community Schools,"20,471","4,504",414,
IN,18,12150,Wabash City Schools,"8,724","1,316",205,
IN,18,12180,Wabash County Schools Metropolitan School District,"12,451","2,110",191,
IN,18,06080,Warren County Metropolitan School District,"7,163","1,165",140,
IN,18,12360,Warren Township Metropolitan School District,"68,153","13,553","2,535",
IN,18,12390,Warrick County School Corporation,"62,998","11,287",768,
IN,18,12420,Warsaw Community Schools,"41,328","7,071",726,
IN,18,12450,Washington Community School Corporation,"18,248","3,342",661,
