Corp,Corp Name,"Performance Points
 (3-8)","Performance Weight
 (3-8)","Growth Points
 (4-8)","Growth Weight
 (4-8)","Performance Points
 (10)","Performance Weight
 (10)","Growth Points
 (10-12)","Growth Weight
 (10-12)","Mult. Measures Points
 (12)","Mult. Measures Weight
 (12)",Overall Points,Overall Grade
7515,North Judson-San Pierre Sch Corp,57.3,0.275,100.2,0.275,31.3,0.09,97.6,0.09,100.5,0.27,82.1,B
7525,Knox Community School Corp,57,0.302,104.5,0.302,37.3,0.079,133.6,0.079,95.3,0.238,85,B
7605,Fremont Community Schools,61.1,0.283,96.3,0.283,49,0.087,111.4,0.087,93,0.26,82.7,B
7610,Hamilton Community Schools,61.2,0.265,83,0.265,44,0.188,0,0,90.5,0.282,72,C
7615,M S D Steuben County,63.9,0.302,101.5,0.302,52.7,0.079,98.4,0.079,96,0.238,84.7,B
7645,Northeast School Corp,60.7,0.291,105.4,0.291,44.9,0.083,126.8,0.083,98,0.25,87.1,B
7775,Switzerland County School Corp,52.6,0.317,83.6,0.317,51.7,0.073,91.6,0.073,100,0.219,75.5,C
7855,Lafayette School Corporation,59.1,0.31,84.5,0.31,36.6,0.076,84.6,0.076,95,0.228,75.4,C
7865,Tippecanoe School Corp,65.4,0.312,91.3,0.312,49.5,0.075,89.5,0.075,100.5,0.225,81.9,B
7875,West Lafayette Com School Corp,84.2,0.299,103.7,0.299,77.5,0.08,116.3,0.08,100,0.241,95.8,A
7935,Tri-Central Community Schools,63.9,0.277,92.4,0.277,43.9,0.089,98.9,0.089,100,0.268,82.8,B
7945,Tipton Community School Corp,69,0.298,103.4,0.298,48,0.081,83.8,0.081,100.4,0.242,86.4,B
7950,Union Co/Clg Corner Joint Sch Dist,67.7,0.298,99.2,0.298,47.6,0.081,88.5,0.081,100.9,0.243,85.3,B
7995,Evansville Vanderburgh School Corp,55.8,0.304,96.5,0.304,41.7,0.078,101.3,0.078,90.6,0.235,78.7,C
8010,North Vermillion Com Sch Corp,51.5,0.288,98.8,0.288,35.1,0.085,72.8,0.085,98.3,0.255,77.5,C
8020,South Vermillion Com Sch Corp,60.5,0.297,102.6,0.297,46.2,0.081,76.3,0.081,100,0.244,82.8,B
8045,Manchester Community Schools,67.4,0.295,95.9,0.295,51.1,0.082,110.7,0.082,100,0.246,86,B
8060,Wabash City Schools,54.9,0.308,88.4,0.308,39.8,0.077,79.9,0.077,100.5,0.231,76.6,C
8115,M S D Warren County,63.4,0.297,96.9,0.297,51.9,0.081,96.7,0.081,100,0.244,84,B
8205,Salem Community Schools,55.2,0.307,104.1,0.307,48.5,0.077,107.8,0.077,100.4,0.232,84.2,B
8215,East Washington School Corp,68.3,0.293,103.5,0.293,43.1,0.083,64.4,0.083,100,0.249,84.2,B
8220,West Washington School Corp,67.6,0.29,88.7,0.29,39.9,0.084,66.9,0.084,100.7,0.252,79.7,C
8305,Nettle Creek School Corporation,60.7,0.302,93.3,0.302,50.6,0.079,106.6,0.079,100,0.237,82.6,B
8355,Western Wayne Schools,52.2,0.283,84,0.283,43.1,0.087,101.5,0.087,94.6,0.26,75.7,C
8360,Centerville-Abington Com Schs,70.7,0.318,97.2,0.318,50,0.073,97.7,0.073,101,0.219,86.3,B
8375,Northeastern Wayne Schools,58,0.296,115.3,0.296,44.6,0.082,97.6,0.082,100,0.245,87.5,B
8385,Richmond Community Schools,49.9,0.304,93,0.304,42.1,0.079,86.3,0.079,100,0.236,77.2,C
8425,Southern Wells Com Schools,55.3,0.298,87.7,0.298,48.7,0.081,128.6,0.081,100.7,0.243,81.4,B
8435,Northern Wells Community Schools,66.8,0.295,96.2,0.295,52.9,0.082,102.2,0.082,100.6,0.246,85.6,B
8445,M S D Bluffton-Harrison,63.7,0.311,103.9,0.311,62.6,0.075,133.8,0.075,100,0.226,89.5,B
8525,Frontier School Corporation,69.7,0.304,108.7,0.304,49.1,0.078,107.1,0.078,100.8,0.235,90.1,A
8535,Tri-County School Corporation,70.6,0.291,110,0.291,51,0.083,105.9,0.083,93.1,0.25,88.9,B
8565,Twin Lakes School Corp,61,0.29,100.1,0.29,45.1,0.084,92.5,0.084,101.6,0.252,83.9,B
8625,Smith-Green Community Schools,55.2,0.303,90.9,0.303,58.7,0.079,127.2,0.079,100.6,0.237,82.8,B
8665,Whitley County Con Schools,64.4,0.302,94.5,0.302,47.3,0.079,79.9,0.079,100,0.237,81.7,B
