State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,10870,Southwest Dubois County School Corporation,"9,798","1,717",199
IN,18,10900,Southwest Parke Community School Corporation,"5,151",889,178
IN,18,10860,Southwest School Corporation,"12,326","1,621",242
IN,18,10800,Southwestern Jefferson County Consolidated Schools,"9,361","1,323",273
IN,18,10830,Southwestern Shelby County Consolidated Schools,"4,392",794,90
IN,18,10920,Speedway School Town,"12,483","1,830",340
IN,18,10950,Spencer-Owen Community Schools,"17,368","2,761",475
IN,18,10980,Springs Valley Community School Corporation,"5,656",903,154
IN,18,11100,Steuben County Metropolitan School District,"18,285","2,730",416
IN,18,11190,Sunman-Dearborn Community School Corporation,"24,365","4,413",304
IN,18,11220,Switzerland County School Corporation,"10,717","1,971",540
IN,18,11250,Taylor Community School Corporation,"9,244","1,457",201
IN,18,11260,Tell City-Troy Township School Corporation,"10,290","1,606",221
IN,18,11340,Tippecanoe School Corporation,"100,135","15,736","1,481"
IN,18,11370,Tippecanoe Valley School Corporation,"11,748","2,098",314
IN,18,11400,Tipton Community School Corporation,"10,344","1,570",160
IN,18,08040,Tipton County Northern Community School Corporation,"4,784",752,64
IN,18,11430,Tri-County School Corporation,"4,248",779,92
IN,18,11460,Tri-Creek School Corporation,"20,089","3,583",345
IN,18,00107,Tri-Township Consolidated School Corporation,"2,939",454,50
IN,18,11490,Triton School Corporation,"5,929","1,195",108
IN,18,11580,Twin Lakes School Corporation,"14,435","2,386",300
IN,18,11610,Union County-College Corner Joint School District,"7,401","1,117",169
IN,18,11730,Union School Corporation,"2,835",472,96
IN,18,11700,Union Township School Corporation,"9,100","1,635",106
IN,18,11910,Union-North United School Corporation,"7,991","1,451",185
IN,18,11970,Valparaiso Community Schools,"44,672","6,720",595
IN,18,12090,Vigo County School Corporation,"107,386","15,775","2,758"
IN,18,12120,Vincennes Community School Corporation,"22,471","3,232",687
